c477705 was levy310898, 8 minutes ago, message: do adding exam and see exam has created
162ae65 was levy310898, 8 days ago, message: fixing newTest
fc22196 was levy310898, 8 days ago, message: add address input
4725f68 was levy310898, 8 days ago, message: nothing
f207773 was levy310898, 10 days ago, message: nothing
2ba1182 was levy310898, 10 days ago, message: change password form frontend
8210162 was levy310898, 10 days ago, message: nothing
c844a13 was AnNguyen, 12 days ago, message: re-update files
c23a596 was AnNguyen1412, 12 days ago, message: Update views.py
75db40e was Vinh Le, 2 weeks ago, message: delete
65fbc6f was Vinh Le, 2 weeks ago, message: xc
7512915 was levy310898, 2 weeks ago, message: fixing front-end
327b5ab was levy310898, 2 weeks ago, message: update create test in front-end
28ff3c1 was AnNguyen1412, 2 weeks ago, message: Update info.html
3698e60 was AnNguyen, 2 weeks ago, message: change avatar
ea47a89 was AnNguyen1412, 3 weeks ago, message: avatar
18503e0 was AnNguyen1412, 3 weeks ago, message: update how point is saved
c08657c was levy310898, 3 weeks ago, message: search engine
25b2017 was levy310898, 4 weeks ago, message: nothing
446f67e was levy310898, 4 weeks ago, message: nothing
ddbcf12 was tuandinhduc, 4 weeks ago, message: 'logout'
afa181f was tuandinhduc, 4 weeks ago, message: 'change_changepass'
0400546 was tuandinhduc, 4 weeks ago, message: Update change-password.html
ca411e6 was tuandinhduc, 4 weeks ago, message: Update views.py
38ef557 was AnNguyen1412, 4 weeks ago, message: Update info.html
4e24488 was levy310898, 4 weeks ago, message: nothing
fd08631 was levy310898, 4 weeks ago, message: nothing
c4f26ba was AnNguyen1412, 4 weeks ago, message: Update views.py
164f5f2 was levy310898, 4 weeks ago, message: Merge branch 'master' of https://github.com/levy310898/assignment-TTCNPM
a0864c8 was levy310898, 4 weeks ago, message: nothing
c83271e was AnNguyen1412, 4 weeks ago, message: update html
fa28dc2 was levy310898, 4 weeks ago, message: adding database nicely
d7e7516 was levy310898, 5 weeks ago, message: add pagination in homepage and scrollbar in my-test
eb5d9f0 was levy310898, 5 weeks ago, message: add pagination in home page ,fix error date in info and make scrollbar in my-test
c44d500 was levy310898, 5 weeks ago, message: add pagination in home page ,fix error date in info and make scrollbar in my-test
97a1f3f was levy310898, 5 weeks ago, message: add pagination in home page ,fix error date in info and make scrollbar in my-test
a4485a9 was Vinh Le, 5 weeks ago, message: change
3d6cb89 was Vinh Le, 5 weeks ago, message: change
b2e2f1a was Vinh Le, 5 weeks ago, message: new change
d38018d was levy310898, 5 weeks ago, message: Merge branch 'master' of https://github.com/levy310898/assignment-TTCNPM
6cd6c73 was levy310898, 5 weeks ago, message: add pagination to homepage, scrollbar for my-test
2a71afb was Vinh Le, 5 weeks ago, message: add exam
ffbb2f2 was Vinh Le, 5 weeks ago, message: commit
9171fc2 was Vinh Le, 5 weeks ago, message: Merge branch 'master' of https://github.com/levy310898/assignment-TTCNPM
96f1912 was AnNguyen1412, 5 weeks ago, message: update html
3d2ea1d was AnNguyen1412, 5 weeks ago, message: update url
c32abf1 was levy310898, 5 weeks ago, message: update all
4cf0a5a was Vinh Le, 5 weeks ago, message: Merge branch 'master' of https://github.com/levy310898/assignment-TTCNPM
803a3fc was Vinh Le, 5 weeks ago, message: update maketest
26c85ca was AnNguyen1412, 5 weeks ago, message: update do test and add change info
5b93b8a was AnNguyen1412, 5 weeks ago, message: update do test and add change info
1137044 was tuandinhduc, 5 weeks ago, message: nothing
5c11f00 was tuandinhduc, 5 weeks ago, message: update logout
4da4f17 was levy310898, 5 weeks ago, message: update login form error and my-test data
597e469 was levy310898, 6 weeks ago, message: Merge branch 'master' of https://github.com/levy310898/assignment-TTCNPM
eeb9db1 was levy310898, 6 weeks ago, message: nothing
3b3fd8e was tuandinhduc, 6 weeks ago, message: update display score of each exam
9cfb5c1 was tuandinhduc, 6 weeks ago, message: update home
189c297 was tuandinhduc, 6 weeks ago, message: update login error annoucement and sign-up
15cf20b was levy310898, 6 weeks ago, message: fixed link from login to home, push data to home page
5a9af7a was levy310898, 6 weeks ago, message: update do-test.html, my-test.html
3276de6 was levy310898, 6 weeks ago, message: fail
74f0e28 was AnNguyen, 6 weeks ago, message: add how to get input from do-test and save to database
5cc67bd was levy310898, 7 weeks ago, message: Merge branch 'master' of https://github.com/levy310898/assignment-TTCNPM
a92b84f was levy310898, 7 weeks ago, message: nothing
7428f17 was tuandinhduc, 7 weeks ago, message: update database
008502c was levy310898, 7 weeks ago, message: nothing
b14bce7 was tuandinhduc, 7 weeks ago, message: add signup button
1050315 was tuandinhduc, 7 weeks ago, message: Merge branch 'master' of https://github.com/levy310898/assignment-TTCNPM
8e6cc32 was tuandinhduc, 7 weeks ago, message: nothing
9672bb7 was AnNguyen1412, 7 weeks ago, message: update models.py
32ca865 was levy310898, 7 weeks ago, message: upadte my_test.html
e393160 was levy310898, 7 weeks ago, message: update my_test.html
bb1ee82 was tuandinhduc, 7 weeks ago, message: update signin signup
28e16b8 was tuandinhduc, 7 weeks ago, message: added signin signup
81369a2 was AnNguyen, 7 weeks ago, message: add do-test.html and update urls.py, views.py
a36a51e was levy310898, 7 weeks ago, message: update file in template
bf751a1 was levy310898, 7 weeks ago, message: inital project again
